"Source:","C:\Users\shoug\OneDrive\Desktop\Spring23\Embeded Systems\KitchenClock-A\KitchenClock-A.kicad_sch"
"Date:","4/13/2023 12:14:12 AM"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","23"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","2","D1, D2","LED","Device:LED","LED_THT:LED_D5.0mm","~",""
"2","1","J1","Power","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~",""
"3","1","J2","Analog","Connector_Generic:Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~",""
"4","1","J3","Digital/PWM","Connector_Generic:Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~",""
"5","1","J4","Digital/PWM","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~",""
"6","1","LS1","Speaker","Device:Speaker","Buzzer_Beeper:Buzzer_12x9.5RM7.6","https://www.digikey.com/en/products/detail/cui-devices/CMI-1295IC-0585T/11674150?utm_adgroup=Alarms%2C%20Buzzers%2C%20and%20Sirens&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Product_Audio%20Products_NEW&utm_term=&utm_content=Alarms%2C%20Buzzers%2C%20and%20Sirens&gclid=CjwKCAjwzuqgBhAcEiwAdj5dRt8nz1IuytFLjx3uwWgVUeIhfTmZ3ysWix6dXCToN1KqcPwJXCrWqhoCtbEQAvD_BwE",""
"7","2","R1, R2","330","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"8","8","R3, R4, R5, R6, R7, R8, R9, R10","100","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"9","2","R11, R12","10k","Device:R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~",""
"10","2","SW1, SW2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH-12mm","~",""
"11","1","U1","74HC595","74xx:74HC595","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf",""
"12","1","U2","CA56-12EWA","Display_Character:CA56-12EWA","Display_7Segment:CA56-12EWA","http://cdn.sparkfun.com/datasheets/Components/LED/1LEDREDCC.pdf",""
